time,id,g,e,m,b
128,75,0.11000000000000001,A,0,0
128,76,0.1,A,0,0
128,77,0.0,A,0,1
128,78,0.030000000000000006,a,0,0
128,79,0.1,A,0,1
128,80,0.03520000000000001,a,0,0
128,81,0.0,A,0,0
128,82,0.0,A,0,0
128,83,0.0,A,0,0
128,84,0.0,A,0,1
128,85,0.0,A,0,1
128,86,0.0,A,0,1
128,87,0.0,A,0,0
128,88,0.0,A,0,0
128,89,0.0,A,0,0
128,90,0.1,A,0,0
128,91,0.21000000000000002,A,0,0
128,92,0.0,A,0,1
128,93,0.0,a,0,1
128,94,0.0,A,0,1
128,95,0.0,A,0,1
128,96,0.0,A,0,1
128,97,0.0,A,0,1
128,98,0.0,A,0,1
128,99,1.0,a,1,0
128,100,0.0,A,0,0
129,1,0.020000000000000004,a,0,0
129,2,0.0,A,0,0
129,3,0.0,A,0,1
129,4,0.0,A,0,0
129,5,0.0,A,0,1
129,6,0.0,a,0,0
129,7,0.0,A,0,0
129,8,0.8,a,0,0
129,9,0.0,A,0,0
129,10,0.8259999999999998,A,1,0
129,11,0.020000000000000004,a,0,1
129,12,0.010000000000000009,A,0,0
129,13,0.10664095200000004,a,0,0
129,14,0.0,a,0,1
129,15,0.7801080000000004,A,0,0
129,16,0.0,A,0,0
129,17,0.0,a,0,1
129,18,0.0,A,0,1
129,19,0.0,A,0,1
129,20,0.0,A,0,0
129,21,0.0,A,0,0
129,22,0.1,A,0,1
129,23,0.0,A,0,1
129,24,0.0,a,0,0
129,25,0.1,A,0,1
129,26,0.0,a,0,0
129,27,0.0,A,0,1
129,28,0.0,A,0,0
129,29,0.0,A,0,0
129,30,0.0,A,0,1
129,31,0.0,A,0,1
129,32,0.0,A,0,0
129,33,0.010000000000000009,A,0,0
129,34,0.0,a,0,1
129,35,0.0,A,0,0
129,36,1.0,a,1,0
129,37,0.0,a,0,0
129,38,0.0,A,0,1
129,39,0.0,A,0,1
129,40,0.0,a,0,1
129,41,0.0,A,0,0
129,42,0.0,A,0,0
129,43,0.010000000000000009,A,0,0
129,44,0.9,A,1,0
129,45,1.0,A,1,0
129,46,0.1,A,0,0
129,47,0.0,A,0,1
129,48,0.30000000000000004,A,0,0
129,49,0.0,A,0,0
129,50,0.011000000000000003,a,0,1
129,51,0.0,a,0,1
129,52,0.0,a,0,0
129,53,0.0,A,0,1
129,54,0.0,A,0,1
129,55,0.010000000000000009,A,0,1
129,56,0.0,A,0,1
129,57,0.0,a,0,1
129,58,0.0,a,0,0
129,59,0.2,A,0,0
129,60,0.0,a,0,1
129,61,0.0,A,0,1
129,62,0.0,A,0,1
129,63,0.010000000000000002,a,0,1
129,64,0.04100000000000001,a,0,1
129,65,0.0,a,0,1
129,66,0.0,A,0,0
129,67,0.0,A,0,0
129,68,0.0,A,0,1
129,69,0.0,a,0,1
129,70,0.010000000000000002,a,0,1
129,71,0.010000000000000002,a,0,1
129,72,0.0,A,0,1
129,73,0.1,A,0,0
129,74,0.0,a,0,1
129,75,0.0,A,0,0
129,76,0.0,A,0,0
129,77,0.0,A,0,1
129,78,0.0,a,0,0
129,79,0.0,A,0,1
129,80,0.04872000000000001,a,0,0
129,81,0.0,A,0,0
129,82,0.0,A,0,0
129,83,0.0,A,0,0
129,84,0.0,A,0,1
129,85,0.0,A,0,1
129,86,0.0,A,0,1
129,87,0.0,A,0,0
129,88,0.11000000000000001,A,0,0
129,89,0.0,A,0,0
129,90,0.0,A,0,0
129,91,0.01210000000000001,A,0,0
129,92,0.0,A,0,1
129,93,0.0,a,0,1
129,94,0.1,A,0,1
129,95,0.0,A,0,1
129,96,0.0,A,0,1
